(16,40)
(26,21)
(5,6)
(0,10)
(16,10)
(2,23)
(41,5)
(29,10)
(27,1)
(30,14)
(25,48)
(45,38)
(44,32)
(8,18)
(32,22)
(8,48)
(12,36)
(21,19)
(43,21)
(31,9)
(31,34)
(34,24)
(41,13)
(36,18)
(14,17)
(32,41)
(17,28)
(31,11)
(12,42)
(32,44)
(16,42)
(44,30)
(28,15)
(0,21)
(39,31)
(32,20)
(15,18)
(47,8)
(33,33)
(27,48)
(0,11)
(41,18)
(41,25)
(31,6)
(17,15)
(2,35)
(7,47)
(15,36)
(14,15)
(9,3)
(49,44)
(26,16)
(12,25)
(25,46)
(8,4)
(46,11)
(15,39)
(31,7)
(14,14)
(15,33)
(30,17)
(18,37)
(16,34)
(25,33)
(1,35)
(36,2)
(31,14)
(19,43)
(39,46)
(41,48)
(0,39)
(11,15)
(29,42)
(24,45)
(8,39)
(31,38)
(9,1)
(28,25)
(35,3)
(8,39)
(40,47)
(41,21)
(11,12)
(17,1)
(8,8)
(1,10)
(48,14)
(26,29)
(8,2)
(24,16)
(44,5)
(7,3)
(7,35)
(30,44)
(40,41)
(35,31)
(38,29)
(4,1)
(43,21)
(4,4)
